date,n1,n2,n3,n4,n5,n6,reserve,game,source
2025-07-12,8,23,30,32,39,43,9,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-07-19,1,7,10,25,28,34,16,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-07-26,12,22,32,37,42,43,31,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-02,3,5,10,12,25,27,20,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-09,9,10,18,20,21,30,16,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-16,5,6,33,38,41,44,2,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-23,13,14,31,33,34,38,32,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-30,1,3,9,21,40,42,14,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-09-06,5,8,18,21,25,31,19,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-09-13,1,5,8,24,31,41,9,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-10-04,5,13,14,25,28,43,7,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-10-11,13,16,28,31,33,41,37,Lotto,lotteryguru.com
2025-10-18,2,9,17,30,44,45,34,Lotto,lotteryguru.com
2025-10-25,13,20,25,41,43,45,35,Lotto,lotteryguru.com
2025-11-01,16,18,28,37,39,40,3,Lotto,lotteryguru.com
2025-11-08,17,23,27,32,35,41,5,Lotto,lotteryguru.com
2025-11-15,2,6,7,8,24,29,21,Lotto,lotteryguru.com
2025-11-22,2,17,18,23,27,42,8,Lotto,lotteryguru.com
2025-11-29,3,14,21,25,34,37,19,Lotto,lotteryguru.com
2025-12-06,11,20,28,31,36,39,13,Lotto,lotteryguru.com
2025-12-13,23,32,37,39,41,45,40,Lotto,lotteryguru.com
2025-12-20,8,23,31,33,38,39,44,Lotto,lotteryguru.com
2025-12-27,6,15,17,27,36,37,14,Lotto,lotteryguru.com
2026-01-03,15,24,25,26,38,43,32,Lotto,Manual Entry - Jan 3 2026
2026-01-10,6,11,29,35,36,37,31,Lotto,manual
2026-01-17,1,2,11,29,36,41,16,Lotto,lotteryguru.com
2026-01-24,3,7,8,36,42,44,26,Lotto,lotteryguru.com
2026-01-31,1,16,27,32,34,39,38,Lotto,lotteryguru.com
2026-02-07,5,8,19,32,36,44,41,Lotto,lotteryguru.com
2026-02-14,10,13,19,20,23,29,36,Lotto,lotteryguru.com
2026-02-21,4,5,12,30,35,39,25,Lotto,lotteryguru.com
2026-02-28,4,8,9,10,16,30,37,Lotto,lotteryguru.com
2026-03-07,1,7,12,17,26,27,36,Lotto,lotteryguru.com
2026-03-14,28,33,37,38,42,44,16,Lotto,lotteryguru.com
2026-03-21,3,4,21,25,27,31,43,Lotto,lotteryguru.com
2026-03-28,24,27,31,33,41,42,15,Lotto,nederlandseloterij.nl
