date,n1,n2,n3,n4,n5,n6,reserve,game,source
2025-07-12,8,23,30,32,39,43,9,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-07-19,1,7,10,25,28,34,16,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-07-26,12,22,32,37,42,43,31,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-02,3,5,10,12,25,27,20,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-09,9,10,18,20,21,30,16,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-16,5,6,33,38,41,44,2,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-23,13,14,31,33,34,38,32,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-08-30,1,3,9,21,40,42,14,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-09-06,5,8,18,21,25,31,19,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
2025-09-13,1,5,8,24,31,41,9,Lotto,https://lotteryguru.com/netherlands-lottery-results/nl-lotto/nl-lotto-results-history
