date,n1,n2,n3,n4,n5,n6,reserve,game,source
2025-07-12 00:00:00,3,7,9,15,31,41,38,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-07-19 00:00:00,1,11,26,28,30,31,41,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-07-26 00:00:00,2,12,15,16,24,40,37,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-02 00:00:00,6,9,19,21,31,37,44,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-09 00:00:00,13,19,25,34,44,45,40,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-16 00:00:00,2,3,12,26,34,44,21,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-23 00:00:00,4,17,21,22,39,41,3,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-30 00:00:00,3,14,27,35,39,45,8,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-09-06 00:00:00,8,16,21,33,34,45,10,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-09-13 00:00:00,3,5,17,24,27,35,21,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-10-04 00:00:00,7,12,19,23,26,29,31,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-10-11 00:00:00,4,10,31,34,36,45,44,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-10-18 00:00:00,14,16,18,20,23,36,15,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-10-25 00:00:00,4,8,13,14,23,42,1,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-11-01 00:00:00,3,8,9,17,20,28,42,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-11-08 00:00:00,7,13,24,35,36,44,3,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-11-15 00:00:00,6,9,12,19,21,26,1,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-11-22 00:00:00,9,21,22,27,31,45,5,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-11-29 00:00:00,2,5,29,40,43,44,34,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-12-06 00:00:00,9,10,14,19,22,30,37,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
,1,11,12,13,21,38,27,Lotto XL,Manual Entry - Dec 13 2025
2025-12-13,1,11,12,13,21,38,27,Lotto XL,Manual Entry - Dec 13 2025
