date,n1,n2,n3,n4,n5,n6,reserve,game,source
2025-07-12,3,7,9,15,31,41,38,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-07-19,1,11,26,28,30,31,41,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-07-26,2,12,15,16,24,40,37,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-02,6,9,19,21,31,37,44,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-09,13,19,25,34,44,45,40,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-16,2,3,12,26,34,44,21,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-23,4,17,21,22,39,41,3,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-08-30,3,14,27,35,39,45,8,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-09-06,8,16,21,33,34,45,10,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
2025-09-13,3,5,17,24,27,35,21,Lotto XL,https://lotteryguru.com/netherlands-lottery-results/nl-lotto-xl/nl-lotto-xl-results-history
